OBJECTID,BLOCK,DISTRICT,STATE,VILLAGE,CODE,Shape_Leng,Shape_Area,TEHSIL
3595,ISMAILABAD,KURUKSHETRA,HARYANA,GORKHA,G15,7193.946498,2232266.367,ISMAILABAD
3596,ISMAILABAD,KURUKSHETRA,HARYANA,BABAKPUR,B02,4007.718114,1027849.17,ISMAILABAD
3597,ISMAILABAD,KURUKSHETRA,HARYANA,MAJRI KALAN,M05,4338.558834,875297.7795,ISMAILABAD
3598,ISMAILABAD,KURUKSHETRA,HARYANA,MAJRI KHURD,M06,4089.610813,594810.5785,ISMAILABAD
3599,ISMAILABAD,KURUKSHETRA,HARYANA,ROHTI,R20,7986.888587,3052863.29,ISMAILABAD
3610,ISMAILABAD,KURUKSHETRA,HARYANA,JHANSA,J11,22722.15174,16866511.62,ISMAILABAD
3612,ISMAILABAD,KURUKSHETRA,HARYANA,SHANTI NAGAR KURDI,S30,13084.15814,8801052.717,ISMAILABAD
3613,ISMAILABAD,KURUKSHETRA,HARYANA,BASANT PUR,B28,10043.21435,4423912.817,ISMAILABAD
3653,ISMAILABAD,KURUKSHETRA,HARYANA,JALBEHRA,J05,12444.77119,5880516.582,ISMAILABAD
3654,ISMAILABAD,KURUKSHETRA,HARYANA,THASKA MIRANJI,T17,15031.61301,10121028.55,ISMAILABAD
3838,ISMAILABAD,KURUKSHETRA,HARYANA,SHEKHPUR CHAMUN,S31,5974.974259,1029524.213,ISMAILABAD
3839,ISMAILABAD,KURUKSHETRA,HARYANA,FATEHGARH CHAMMU,F02,7109.454795,1670453.394,ISMAILABAD
3840,ISMAILABAD,KURUKSHETRA,HARYANA,CHAMMU,C01,12303.9399,6320761.952,ISMAILABAD
3845,ISMAILABAD,KURUKSHETRA,HARYANA,THOL,T19,24735.18468,15231456.94,ISMAILABAD
3874,ISMAILABAD,KURUKSHETRA,HARYANA,SHERGARH,S32,4733.576868,1283978.231,ISMAILABAD
3875,ISMAILABAD,KURUKSHETRA,HARYANA,THANDRAN,T14,5096.375807,1383431.553,ISMAILABAD
3876,ISMAILABAD,KURUKSHETRA,HARYANA,ISMAILPUR,I07,7534.445795,1636496.938,ISMAILABAD
3877,ISMAILABAD,KURUKSHETRA,HARYANA,ISMAILABAD,I06,16650.37799,11217670.89,ISMAILABAD
3878,ISMAILABAD,KURUKSHETRA,HARYANA,KUMHAR MAJRA,K46,5636.722278,1496138.67,ISMAILABAD
3885,ISMAILABAD,KURUKSHETRA,HARYANA,BHUSTHALA,B44,10543.01875,5058274.519,ISMAILABAD
3886,ISMAILABAD,KURUKSHETRA,HARYANA,PIPLI MAJRA,P12,8097.015517,3364088.631,ISMAILABAD
3515,ISMAILABAD,KURUKSHETRA,HARYANA,LOTNI,L07,8323.70064,2768839.412,PEHOWA
3520,ISMAILABAD,KURUKSHETRA,HARYANA,MALAKPUR,M07,11208.12404,6099834.95,PEHOWA
3548,ISMAILABAD,KURUKSHETRA,HARYANA,SHIRI NAGAR,S33,7042.203782,1655615.169,PEHOWA
3601,ISMAILABAD,KURUKSHETRA,HARYANA,DUNIYA MAJRA,D33,10321.34627,2643462.862,PEHOWA
3602,ISMAILABAD,KURUKSHETRA,HARYANA,KHANJARPUR,K25,5389.906494,1298463.361,PEHOWA
3616,ISMAILABAD,KURUKSHETRA,HARYANA,MANDI,M12,10379.84989,6211113.259,PEHOWA
3650,ISMAILABAD,KURUKSHETRA,HARYANA,KANTHLA,K16,9489.458272,4703113.58,PEHOWA
3887,ISMAILABAD,KURUKSHETRA,HARYANA,MEGHA MAJRA,M19,7308.472862,2339979.553,PEHOWA
3888,ISMAILABAD,KURUKSHETRA,HARYANA,AZMATPUR,A14,6738.341401,1565451.179,PEHOWA
3593,ISMAILABAD,KURUKSHETRA,HARYANA,DALLA MAJRA,D04,6800.616451,1287776.611,SHAHABAD
3835,ISMAILABAD,KURUKSHETRA,HARYANA,THAROLI,T15,7323.637675,2854636.754,SHAHABAD
3836,ISMAILABAD,KURUKSHETRA,HARYANA,THASKA ALI,T16,9889.917896,5540912.639,SHAHABAD
3603,ISMAILABAD,KURUKSHETRA,HARYANA,SALPANI KALAN,S07,12913.656,9041598.875,THANESAR
3604,ISMAILABAD,KURUKSHETRA,HARYANA,JHIVREHRI,J16,7034.958,2823409.431,THANESAR
3884,ISMAILABAD,KURUKSHETRA,HARYANA,AJRANA KHURD,A05,12234.37378,7803673.291,THANESAR
3516,LADWA,KURUKSHETRA,HARYANA,DHUDI,D24,5582.74133,1329225.075,LADWA
3517,LADWA,KURUKSHETRA,HARYANA,DUDHA,D30,6869.082865,2130016.035,LADWA
3528,LADWA,KURUKSHETRA,HARYANA,BHALARI,B36,5450.818455,911336.3877,LADWA
3529,LADWA,KURUKSHETRA,HARYANA,JAINPUR,J01,9229.825428,4077301.256,LADWA
3538,LADWA,KURUKSHETRA,HARYANA,DHANDLA,D17,8391.031659,2508543.187,LADWA
3542,LADWA,KURUKSHETRA,HARYANA,GAROLA,G08,4973.239764,1308467.24,LADWA
3546,LADWA,KURUKSHETRA,HARYANA,DUGAHERI,D32,5543.33727,1483423.33,LADWA
3552,LADWA,KURUKSHETRA,HARYANA,SHAHZADPUR,S28,2692.449239,229759.8441,LADWA
3555,LADWA,KURUKSHETRA,HARYANA,BRAHAN,B67,10052.73583,2880239.503,LADWA
3565,LADWA,KURUKSHETRA,HARYANA,SAMALKHA,S09,5386.97753,1559874.069,LADWA
3573,LADWA,KURUKSHETRA,HARYANA,BHALAR,B35,7861.896251,1660047.949,LADWA
3712,LADWA,KURUKSHETRA,HARYANA,NIWARSI,N10,17992.11068,9474003.496,LADWA
3713,LADWA,KURUKSHETRA,HARYANA,BARAICHPUR,B20,6088.637396,1480499.785,LADWA
3714,LADWA,KURUKSHETRA,HARYANA,DABKHERA,D01,12564.9103,2548330.214,LADWA
3715,LADWA,KURUKSHETRA,HARYANA,BAPDI,B19,9355.417856,2814994.996,LADWA
3716,LADWA,KURUKSHETRA,HARYANA,LATHI DHANAURA,L04,5712.923355,1598674.995,LADWA
3717,LADWA,KURUKSHETRA,HARYANA,BAPDA,B18,6900.768708,2456268.284,LADWA
3718,LADWA,KURUKSHETRA,HARYANA,BUDHA,B68,10102.43334,3030365.083,LADWA
3719,LADWA,KURUKSHETRA,HARYANA,BAN,B15,14405.79611,8170136.431,LADWA
3720,LADWA,KURUKSHETRA,HARYANA,LADWA,L01,12877.85215,5991998.038,LADWA
3721,LADWA,KURUKSHETRA,HARYANA,BAKALI,B10,9549.184155,4725826.655,LADWA
3722,LADWA,KURUKSHETRA,HARYANA,DEHRA,D12,8144.955376,2996029.079,LADWA
3726,LADWA,KURUKSHETRA,HARYANA,HALAL PUR,H01,5656.432459,1943519.882,LADWA
3727,LADWA,KURUKSHETRA,HARYANA,PRAHLADPUR,P02,5884.359501,833149.1296,LADWA
3728,LADWA,KURUKSHETRA,HARYANA,DHANAURA JATTAN,D16,15079.66728,4880637.466,LADWA
3729,LADWA,KURUKSHETRA,HARYANA,BAHLOLPUR,B08,6484.692346,1951053.05,LADWA
3730,LADWA,KURUKSHETRA,HARYANA,SULTANPUR,S45,10045.52745,2441585.243,LADWA
3799,LADWA,KURUKSHETRA,HARYANA,GADLI,G01,10373.07583,3155213.955,LADWA
3800,LADWA,KURUKSHETRA,HARYANA,SALEMPUR,S05,6149.055804,2046430.95,LADWA
3801,LADWA,KURUKSHETRA,HARYANA,BARAUT,B24,7334.947298,2673465.381,LADWA
3802,LADWA,KURUKSHETRA,HARYANA,GOVIND GARH,G16,6427.274449,1848277.568,LADWA
3803,LADWA,KURUKSHETRA,HARYANA,BARAUNDI,B23,5863.789138,1671677.899,LADWA
3804,LADWA,KURUKSHETRA,HARYANA,BARAUNDA,B22,6944.450007,2776516.264,LADWA
3805,LADWA,KURUKSHETRA,HARYANA,BHUT MAJRA,B45,5742.421598,1641136.019,LADWA
3806,LADWA,KURUKSHETRA,HARYANA,MURAD NAGAR,M35,7355.827044,2428976.405,LADWA
3807,LADWA,KURUKSHETRA,HARYANA,BADARPUR,B04,7631.247662,1830440.606,LADWA
3808,LADWA,KURUKSHETRA,HARYANA,BANI,B17,7761.471983,2643582.26,LADWA
